"Year","Region","SuitableHabitatVolume","TolerableHabitatVolume","MarginalHabitatVolume","UnsuitableHabitatVolume","TotalVolume"
"2014","MD","41.2647625","1.3925625","0.822875","2.0218125","45.5020125"
"2014","MDFishingArea","17.99979","0.64375","0.682","2.398","21.72354"
"2016","MD","39.2817775","1.7506925","1.4313175","3.03946","45.5032475"
"2016","MDFishingArea","17.7862","1.01242","0.895","2.02992","21.72354"
"2017","MD","40.952605","1.7756825","1.6471875","1.014625","45.5271"
"2017","MDFishingArea","17.01079","1.68525","2.079","0.9345","21.72354"
"2019","MD","35.97581","2.2527825","3.8140075","3.476","45.5186"
"2019","MDFishingArea","15.61339","0.99233","1.51782","3.6","21.72354"
"2020","MD","44.1162325","0.908805","0.284375","0.1991875","45.5086"
"2020","MDFishingArea","20.58854","0.805","0.31475","0.01525","21.72354"
"2021","MD","39.8052425","1.44287","1.2858525","2.9776975","45.5116625"
"2021","MDFishingArea","17.56547","0.66616","0.66316","2.82875","21.72354"
"2022","MD","38.2364275","1.942305","1.623025","3.7186575","45.520415"
"2022","MDFishingArea","16.90837","1.14175","0.9278","2.74562","21.72354"
"2023","MD","25.242075","5.66361","3.0821","4.1493125","38.1370975"
"2023","MDFishingArea","12.40647","2.73576","1.78481","4.7965","21.72354"
"2024","MD","33.5342275","1.278785","0.826595","2.5017475","38.141355"
"2024","MDFishingArea","18.53492","0.78628","0.42234","1.98","21.72354"
